,req_id,timestamp,method_call,response_code,duration,duration_upstream,bytes_sent,bytes_received,downstream_pod_ip,upstream_cluster,upstream_pod_ip
0,8236105114,2022-04-12T17:46:07.881Z,/detect/,200,316,315,75,13339,10.233.65.16,inbound|5001||,10.233.93.22
1,8239105114,2022-04-12T17:46:08.037Z,/detect/,200,316,268,73,45601,10.233.65.16,inbound|5001||,10.233.93.22
2,8240105114,2022-04-12T17:46:08.044Z,/detect/,200,190,189,75,18244,10.233.65.16,inbound|5001||,10.233.93.22
3,8241105114,2022-04-12T17:46:08.109Z,/detect/,200,194,145,75,26035,10.233.65.16,inbound|5001||,10.233.93.22
4,8242105114,2022-04-12T17:46:08.177Z,/detect/,200,184,183,60,18166,10.233.65.16,inbound|5001||,10.233.93.22
5,8243105114,2022-04-12T17:46:08.233Z,/detect/,200,346,346,74,19261,10.233.65.16,inbound|5001||,10.233.93.22
6,8244105114,2022-04-12T17:46:08.281Z,/detect/,200,236,235,75,18754,10.233.65.16,inbound|5001||,10.233.93.22
7,8245105114,2022-04-12T17:46:08.316Z,/detect/,200,135,135,75,10916,10.233.65.16,inbound|5001||,10.233.93.22
8,8246105114,2022-04-12T17:46:08.385Z,/detect/,200,195,194,89,17315,10.233.65.16,inbound|5001||,10.233.93.22
9,8247105114,2022-04-12T17:46:08.486Z,/detect/,200,91,91,74,19442,10.233.65.16,inbound|5001||,10.233.93.22
10,8248105114,2022-04-12T17:46:08.638Z,/detect/,200,66,65,73,15082,10.233.65.16,inbound|5001||,10.233.93.22
11,8249105114,2022-04-12T17:46:08.840Z,/detect/,200,158,157,77,15545,10.233.65.16,inbound|5001||,10.233.93.22
12,8251105114,2022-04-12T17:46:08.961Z,/detect/,200,178,134,75,22861,10.233.65.16,inbound|5001||,10.233.93.22
13,8252105114,2022-04-12T17:46:08.975Z,/detect/,200,136,132,73,16621,10.233.65.16,inbound|5001||,10.233.93.22
14,8250105114,2022-04-12T17:46:08.979Z,/detect/,200,234,233,77,25265,10.233.65.16,inbound|5001||,10.233.93.22
15,8253105114,2022-04-12T17:46:09.137Z,/detect/,200,83,82,75,15357,10.233.65.16,inbound|5001||,10.233.93.22
16,8254105114,2022-04-12T17:46:09.425Z,/detect/,200,259,257,76,17534,10.233.65.16,inbound|5001||,10.233.93.22
17,8255105114,2022-04-12T17:46:09.457Z,/detect/,200,271,263,76,20584,10.233.65.16,inbound|5001||,10.233.93.22
18,8257105114,2022-04-12T17:46:09.537Z,/detect/,200,238,237,89,17046,10.233.65.16,inbound|5001||,10.233.93.22
19,8256105114,2022-04-12T17:46:09.549Z,/detect/,200,256,248,76,21169,10.233.65.16,inbound|5001||,10.233.93.22
20,8258105114,2022-04-12T17:46:09.669Z,/detect/,200,208,204,89,23123,10.233.65.16,inbound|5001||,10.233.93.22
21,8259105114,2022-04-12T17:46:09.741Z,/detect/,200,62,61,73,13202,10.233.65.16,inbound|5001||,10.233.93.22
22,8260105114,2022-04-12T17:46:09.837Z,/detect/,200,200,153,60,20025,10.233.65.16,inbound|5001||,10.233.93.22
23,8261105114,2022-04-12T17:46:09.901Z,/detect/,200,77,76,60,14268,10.233.65.16,inbound|5001||,10.233.93.22
24,8262105114,2022-04-12T17:46:09.978Z,/detect/,200,116,115,75,14361,10.233.65.16,inbound|5001||,10.233.93.22
25,8263105114,2022-04-12T17:46:09.982Z,/detect/,200,80,80,75,14472,10.233.65.16,inbound|5001||,10.233.93.22
26,8264105114,2022-04-12T17:46:10.215Z,/detect/,200,87,86,76,16679,10.233.65.16,inbound|5001||,10.233.93.22
27,8265105114,2022-04-12T17:46:10.276Z,/detect/,200,329,281,76,30809,10.233.65.16,inbound|5001||,10.233.93.22
